Year,Companies,Students,Placed,Notplaced
2000,85.0,79.0,34.0,45.0
2001,107.0,102.0,45.0,57.0
2002,114.0,98.0,94.0,4.0
2003,91.0,79.0,34.0,45.0
2004,107.0,86.0,56.0,30.0
2005,115.0,82.0,57.0,25.0
2006,112.0,93.0,89.0,4.0
2007,98.0,104.0,85.0,19.0
2008,92.0,82.0,43.0,39.0
2009,110.0,104.0,62.0,42.0
2010,112.0,91.0,88.0,3.0
2011,104.0,134.0,77.0,57.0
2012,122.0,113.0,80.0,33.0
2013,114.0,119.0,118.0,1.0
2014,148.0,128.0,116.0,12.0
2015,131.0,121.0,117.0,4.0
2016,144.0,130.0,112.0,18.0
2017,145.0,106.0,80.0,26.0
2018,116.0,120.0,118.0,2.0
2019,143.0,111.0,77.0,34.0
2020,141.0,113.0,83.0,30.0
2021,133.0,120.0,112.0,8.0
2022,30.0,700.0,388.0,313.0
